"status","name","slug","subtitle","short_description","form","available_sizes","contents","overview","what_it_is","key_benefits","when_to_use","recommended_crops","application_dosage","learn_more"
"published","Potassium Humate","potassium-humate","Soil Conditioner for Long-Term Fertility & Root Strength","Potassium Humate is primarily used as an organic soil conditioner that improves soil fertility, enhances nutrient absorption, and supports balanced crop growth naturally","Liquid / Powder","[]","[{""parameter"": ""Source"", ""specification"": ""Leonardite (naturally derived humic substances)""}, {""parameter"": ""Type"", ""specification"": ""Potassium Humate \u2013 organic compound""}]","Potassium Humate is a naturally derived organic compound extracted from leonardite (rich humic substances). It works by improving soil structure, increasing nutrient holding capacity, enhancing microbial activity.","Potassium Humate is a naturally derived organic compound extracted from leonardite (rich humic substances).

It works by:
• Improving soil structure
• Increasing nutrient holding capacity
• Enhancing microbial activity

Result:
Soil becomes more fertile and roots absorb nutrients better","[""Improves soil fertility and structure"", ""Enhances nutrient absorption efficiency"", ""Promotes strong root development"", ""Increases microbial activity in soil"", ""Improves water retention capacity""]","[""Before sowing / planting"", ""During early growth stages"", ""In poor or degraded soils"", ""After heavy fertilizer use (to restore soil health)""]","[""Mango"", ""Banana"", ""Pomegranate"", ""Tomato"", ""Chilli"", ""Onion"", ""Wheat"", ""Rice"", ""Cotton"", ""Plantation crops"", ""Horticulture""]","[{""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 2\u20134 kg per acre""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 1\u20132 kg per acre""]}, {""method"": ""Foliar Spray"", ""steps"": [""Mix 2\u20133 ml per litre of water""]}]","[{""title"": ""Deficiency Leads To\u2026"", ""content"": ""\u2022 Poor root development\n\u2022 Low nutrient uptake\n\u2022 Weak plant growth\n\u2022 Reduced yield""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 Continuous chemical fertilizer usage\n\u2022 Low organic matter in soil\n\u2022 Poor soil structure\n\u2022 Reduced microbial activity""}, {""title"": ""How Soil+ Potassium Humate Fixes It"", ""content"": ""\u2022 Restores soil organic activity\n\u2022 Improves nutrient retention (less wastage)\n\u2022 Enhances root absorption capacity\n\u2022 Rebuilds long-term soil fertility""}]"
"published","Chelated Mix Micronutrient","chelated-mix-micronutrient","Complete Micronutrient Solution for Balanced Crop Nutrition","Complete micronutrient solution for balanced crop nutrition.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Zinc (Zn)"", ""specification"": """"}, {""parameter"": ""Iron (Fe)"", ""specification"": """"}, {""parameter"": ""Manganese (Mn)"", ""specification"": """"}, {""parameter"": ""Copper (Cu)"", ""specification"": """"}, {""parameter"": ""Magnesium (Mg)"", ""specification"": """"}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Chelated Mix Micronutrient is a balanced blend of essential micronutrients such as Zinc (Zn), Iron (Fe), Manganese (Mn), Copper (Cu), and Magnesium (Mg). Chelation protects nutrients from getting locked in the soil, ensuring better stability and higher absorption by plants.","Chelated Mix Micronutrient is a balanced blend of essential micronutrients such as Zinc (Zn), Iron (Fe), Manganese (Mn), Copper (Cu), and Magnesium (Mg).

Chelation protects nutrients from getting locked in the soil, ensuring better stability and higher absorption by plants.

This results in faster correction of deficiencies and improved nutrient efficiency.","[""Corrects multiple micronutrient deficiencies in one application"", ""Improves chlorophyll formation and photosynthesis"", ""Enhances plant growth and vigor"", ""Supports better flowering and fruit development"", ""Improves yield quality and consistency""]","[""Early vegetative stage"", ""Before flowering stage"", ""At first sign of deficiency symptoms"", ""During high nutrient demand phases""]","[""Mango"", ""Banana"", ""Grapes"", ""Tomato"", ""Chilli"", ""Brinjal"", ""Wheat"", ""Rice"", ""Cotton"", ""Sugarcane"", ""Tea""]","[{""method"": ""Foliar Spray"", ""steps"": [""Mix 1\u20132 gm per litre of water""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 500 gm \u2013 1 kg per acre""]}, {""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 2\u20133 kg per acre""]}]","[{""title"": ""Deficiency Leads To\u2026"", ""content"": ""\u2022 Yellowing of leaves (chlorosis)\n\u2022 Stunted plant growth\n\u2022 Poor flowering and fruiting\n\u2022 Reduced yield and quality""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 Continuous use of only NPK fertilizers\n\u2022 Nutrient imbalance in soil\n\u2022 High soil pH causing nutrient lock\n\u2022 Low organic matter in soil""}, {""title"": ""How Soil+ Mix Micronutrient Fixes It"", ""content"": ""Soil+ Chelated Mix Micronutrient provides a complete set of essential micronutrients in a highly absorbable form, ensuring quick correction of deficiencies and restoring balanced plant nutrition.""}]"
"published","Chelated Zinc (Zn 12%)","chelated-zinc-zn-12","Fast and Effective Correction of Zinc Deficiency in Crops","Fast and effective correction of zinc deficiency in crops.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Zinc (Zn)"", ""specification"": ""12%""}, {""parameter"": ""Type"", ""specification"": ""Chelated micronutrient \u2013 highly available and easily absorbable form""}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Zinc (Zn 12%) is a chelated micronutrient that provides zinc in a highly available and easily absorbable form. Chelation prevents zinc from getting fixed in the soil, allowing the plant to absorb it efficiently through leaves and roots.","Zinc (Zn 12%) is a chelated micronutrient that provides zinc in a highly available and easily absorbable form.

Chelation prevents zinc from getting fixed in the soil, allowing the plant to absorb it efficiently through leaves and roots.

It plays a critical role in enzyme activation and growth regulation.","[""Promotes healthy plant growth and development"", ""Enhances enzyme activity and metabolic functions"", ""Improves leaf size and uniformity"", ""Supports better flowering and fruit setting"", ""Increases overall crop productivity""]","[""During early vegetative stage"", ""At first signs of yellowing between leaf veins"", ""Before flowering stage"", ""In zinc-deficient soils""]","[""Mango"", ""Citrus"", ""Banana"", ""Tomato"", ""Onion"", ""Chilli"", ""Wheat"", ""Rice"", ""Maize"", ""Oilseeds"", ""Pulses""]","[{""method"": ""Foliar Spray"", ""steps"": [""Mix 0.5\u20131 gm per litre of water""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 500 gm per acre""]}, {""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 1\u20132 kg per acre""]}]","[{""title"": ""Zinc Deficiency Leads To\u2026"", ""content"": ""\u2022 Yellowing between leaf veins (interveinal chlorosis)\n\u2022 Reduced leaf size\n\u2022 Stunted plant growth\n\u2022 Poor flowering and fruit development""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 High soil pH (alkaline soils)\n\u2022 Excess phosphorus application\n\u2022 Low organic matter\n\u2022 Continuous cropping without micronutrient replenishment""}, {""title"": ""How Soil+ Zinc Fixes It"", ""content"": ""Soil+ Zinc Chelated provides readily available zinc in a protected form, ensuring quick absorption and immediate correction of deficiency symptoms, leading to improved growth and yield.""}]"
"published","Chelated Iron (Fe 12%)","chelated-iron-fe-12","Rapid Correction of Iron Deficiency and Restoration of Green Leaf Color","Rapid correction of iron deficiency and restoration of green leaf color.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Iron (Fe)"", ""specification"": ""12%""}, {""parameter"": ""Type"", ""specification"": ""Chelated micronutrient \u2013 stable and plant-available form""}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Iron (Fe 12%) is a chelated micronutrient that supplies iron in a stable and plant-available form. Chelation prevents iron from getting locked in the soil, especially in alkaline conditions, allowing efficient absorption by plants.","Iron (Fe 12%) is a chelated micronutrient that supplies iron in a stable and plant-available form.

Chelation prevents iron from getting locked in the soil, especially in alkaline conditions, allowing efficient absorption by plants.

Iron is essential for chlorophyll formation and energy transfer within the plant.","[""Promotes chlorophyll formation and green foliage"", ""Improves photosynthesis efficiency"", ""Enhances plant energy production"", ""Supports healthy vegetative growth"", ""Improves overall plant vitality""]","[""At early stages of chlorosis (yellowing of young leaves)"", ""During vegetative growth phase"", ""In high pH or alkaline soils"", ""When plants show pale or yellow top leaves""]","[""Grapes"", ""Citrus"", ""Pomegranate"", ""Spinach"", ""Tomato"", ""Potato"", ""Soybean"", ""Groundnut"", ""Rice"", ""Plantation crops""]","[{""method"": ""Foliar Spray"", ""steps"": [""Mix 0.5\u20131 gm per litre of water""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 500 gm \u2013 1 kg per acre""]}, {""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 1\u20132 kg per acre""]}]","[{""title"": ""Iron Deficiency Leads To\u2026"", ""content"": ""\u2022 Yellowing of young leaves (interveinal chlorosis)\n\u2022 Reduced photosynthesis\n\u2022 Weak plant growth\n\u2022 Poor crop development""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 High soil pH (alkaline soils)\n\u2022 Poor soil aeration\n\u2022 Excess phosphorus or calcium\n\u2022 Low organic matter""}, {""title"": ""How Soil+ Iron Fixes It"", ""content"": ""Soil+ Iron Chelated delivers iron in a protected and readily absorbable form, ensuring quick correction of chlorosis and restoring healthy green growth.""}]"
"published","Chelated Manganese (Mn 12%)","chelated-manganese-mn-12","Effective Correction of Manganese Deficiency for Improved Photosynthesis","Effective correction of manganese deficiency for improved photosynthesis.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Manganese (Mn)"", ""specification"": ""12%""}, {""parameter"": ""Type"", ""specification"": ""Chelated micronutrient \u2013 stable and plant-available form""}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Manganese (Mn 12%) is a chelated micronutrient that provides manganese in a stable and plant-available form. Chelation prevents manganese from getting fixed in the soil, ensuring efficient absorption by plants.","Manganese (Mn 12%) is a chelated micronutrient that provides manganese in a stable and plant-available form.

Chelation prevents manganese from getting fixed in the soil, ensuring efficient absorption by plants.

Manganese plays a key role in photosynthesis and enzyme activation.","[""Supports photosynthesis and energy production"", ""Activates important plant enzymes"", ""Improves plant growth and vigor"", ""Enhances nutrient utilization"", ""Contributes to better crop quality""]","[""During vegetative growth stage"", ""At signs of interveinal yellowing in young leaves"", ""In light or sandy soils"", ""In high pH soil conditions""]","[""Citrus"", ""Grapes"", ""Beans"", ""Potato"", ""Tomato"", ""Wheat"", ""Soybean"", ""Rice"", ""Plantation crops""]","[{""method"": ""Foliar Spray"", ""steps"": [""Mix 0.5\u20131 gm per litre of water""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 500 gm per acre""]}, {""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 1\u20132 kg per acre""]}]","[{""title"": ""Manganese Deficiency Leads To\u2026"", ""content"": ""\u2022 Interveinal chlorosis (yellowing between veins)\n\u2022 Reduced photosynthesis\n\u2022 Slow plant growth\n\u2022 Poor yield""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 High soil pH\n\u2022 Sandy or low organic matter soils\n\u2022 Excess iron or other nutrient imbalance\n\u2022 Continuous intensive cropping""}, {""title"": ""How Soil+ Manganese Fixes It"", ""content"": ""Soil+ Manganese Chelated provides manganese in an easily absorbable form, ensuring quick correction of deficiency and improved plant metabolic activity.""}]"
"published","Chelated Copper (Cu 12%)","chelated-copper-cu-12","Supports Plant Health and Strengthens Natural Resistance","Supports plant health and strengthens natural resistance.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Copper (Cu)"", ""specification"": ""12%""}, {""parameter"": ""Type"", ""specification"": ""Chelated micronutrient \u2013 stable and plant-available form""}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Copper (Cu 12%) is a chelated micronutrient that provides copper in a stable and plant-available form. Chelation prevents copper from getting fixed in the soil, ensuring efficient absorption by plants.","Copper (Cu 12%) is a chelated micronutrient that provides copper in a stable and plant-available form.

Chelation prevents copper from getting fixed in the soil, ensuring efficient absorption by plants.

Copper plays a vital role in enzyme systems and supports plant defense mechanisms.","[""Enhances natural plant defense and resilience"", ""Supports enzyme activation and metabolic processes"", ""Improves overall plant strength and structure"", ""Promotes healthy growth and development"", ""Contributes to better crop quality""]","[""During vegetative growth stage"", ""At signs of leaf distortion or dieback"", ""In copper-deficient soils"", ""During stress conditions""]","[""Citrus"", ""Grapes"", ""Onion"", ""Tomato"", ""Wheat"", ""Rice"", ""Plantation crops""]","[{""method"": ""Foliar Spray"", ""steps"": [""Mix 0.5\u20131 gm per litre of water""]}, {""method"": ""Drip Irrigation (Per Acre)"", ""steps"": [""Apply 500 gm per acre""]}, {""method"": ""Soil Application (Per Acre)"", ""steps"": [""Apply 1\u20132 kg per acre""]}]","[{""title"": ""Copper Deficiency Leads To\u2026"", ""content"": ""\u2022 Dieback of shoots and leaves\n\u2022 Leaf curling or distortion\n\u2022 Weak plant structure\n\u2022 Poor flowering and fruiting""}, {""title"": ""Why Does This Deficiency Happen?"", ""content"": ""\u2022 Sandy soils with low organic matter\n\u2022 High soil pH\n\u2022 Excess nitrogen or phosphorus\n\u2022 Continuous cropping without micronutrient replenishment""}, {""title"": ""How Soil+ Copper Fixes It"", ""content"": ""Soil+ Copper Chelated delivers copper in a protected and readily absorbable form, helping restore plant health, improve resistance, and correct deficiency quickly.""}]"
"published","Chelated Magnesium (Mg 6%)","chelated-magnesium-mg-6","Restores Chlorophyll and Improves Photosynthesis Efficiency","Restores chlorophyll and improves photosynthesis efficiency.","Amino based / Glycine based / EDTA based formulations","[]","[{""parameter"": ""Magnesium (Mg)"", ""specification"": ""6%""}, {""parameter"": ""Type"", ""specification"": ""Chelated micronutrient \u2013 stable and plant-available form""}, {""parameter"": ""Note"", ""specification"": ""Available in Amino based, Glycine based, and EDTA based formulations""}]","Magnesium (Mg 6%) is a chelated micronutrient that provides magnesium in a stable and plant-available form. Chelation prevents magnesium from getting fixed in the soil, ensuring efficient absorption by plants.","Magnesium (Mg 6%) is a chelated micronutrient that provides magnesium in a stable and plant-available form.

Chelation prevents magnesium from getting fixed in the soil, ensuring efficient absorption by plants.

